"Date","Open","High","Low","Close","Volume","ticker","name"
"1962-01-02 00:00:00-05:00","0.045368485152721405","0.04660368954707285","0.045368485152721405","0.045368485152721405","806400","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-03 00:00:00-05:00","0.04469470586290751","0.04469470586290751","0.04368391527309636","0.04435765743255615","1574400","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-04 00:00:00-05:00","0.044470120652979214","0.0450315715607075","0.044470120652979214","0.044694703072309494","844800","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-05 00:00:00-05:00","0.04469471837907832","0.04525616947908888","0.04357163625808647","0.04368392750620842","1420800","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-08 00:00:00-05:00","0.043347075460416516","0.043347075460416516","0.042392514553662","0.04323478415608406","2035200","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-09 00:00:00-05:00","0.04323475344997662","0.04424536933060921","0.04289787977623306","0.04402078688144684","960000","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-10 00:00:00-05:00","0.04402080951946613","0.044863081527136944","0.0435716495307557","0.044245392084121704","1612800","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-11 00:00:00-05:00","0.044245363453337246","0.044694703072309494","0.04402078103400697","0.044694703072309494","614400","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-12 00:00:00-05:00","0.04469470586290751","0.04469470586290751","0.04390849770644887","0.04435765743255615","883200","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-15 00:00:00-05:00","0.044245371455887486","0.044245371455887486","0.04379621167658593","0.0439085029065609","614400","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-16 00:00:00-05:00","0.04379620271977558","0.04379620271977558","0.04306622505435431","0.04312245547771454","1113600","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-17 00:00:00-05:00","0.04312247053798563","0.04312247053798563","0.04177498072385788","0.04177498072385788","1574400","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-18 00:00:00-05:00","0.04177497657140389","0.04199955647123546","0.04076418581606236","0.040932707488536835","2649600","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-19 00:00:00-05:00","0.04132566862229883","0.04222416877746582","0.04132566862229883","0.04222416877746582","1459200","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-22 00:00:00-05:00","0.042224146933166964","0.04267331195844253","0.04177498447819117","0.04256102070212364","1075200","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-23 00:00:00-05:00","0.042448730106583454","0.042448730106583454","0.04166252166032791","0.04166252166032791","768000","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-24 00:00:00-05:00","0.04166250968576016","0.0417749731215902","0.040427308772343684","0.041213344782590866","2611200","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-25 00:00:00-05:00","0.04121334793462291","0.04188726498065724","0.04087647423148155","0.04087647423148155","1574400","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-26 00:00:00-05:00","0.04087649345986672","0.04087649345986672","0.040202748306952196","0.04042733088135719","1574400","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-29 00:00:00-05:00","0.04042733088135719","0.0405396221685597","0.040315039594154695","0.04042733088135719","307200","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-30 00:00:00-05:00","0.040427331678166645","0.040764205546413815","0.04025880992412567","0.04025880992412567","1574400","KO","The Coca-Cola Company (KO) Historical Data"
"1962-01-31 00:00:00-05:00","0.04042732956941025","0.04188728332519531","0.04042732956941025","0.04188728332519531","1766400","KO","The Coca-Cola Company (KO) Historical Data"
"1962-02-01 00:00:00-05:00","0.04222416877746582","0.04289791409363557","0.04222416877746582","0.04222416877746582","1420800","KO","The Coca-Cola Company (KO) Historical Data"
"1962-02-02 00:00:00-05:00","0.042224128670138535","0.04267329350113869","0.041550211783926906","0.04267329350113869","1152000","KO","The Coca-Cola Company (KO) Historical Data"
"1962-02-05 00:00:00-05:00","0.04267329350113869","0.04267329350113869","0.042336419877888574","0.04267329350113869","384000","KO","The Coca-Cola Company (KO) Historical Data"
"1962-02-06 00:00:00-05:00","0.04267331504778904","0.04267331504778904","0.04211185872554779","0.04211185872554779","691200","KO","The Coca-Cola Company (KO) Historical Data"
"1962-02-07 00:00:00-05:00","0.042111859045876054","0.042336441576480865","0.042111859045876054","0.042336441576480865","192000","KO","The Coca-Cola Company (KO) Historical Data"
"1962-02-08 00:00:00-05:00","0.042336430589914376","0.04267330429840077","0.04188726564526585","0.04244872182607651","768000","KO","The Coca-Cola Company (KO) Historical Data"
"1962-02-09 00:00:00-05:00","0.04244871108563861","0.04267329350113869","0.042224128670138535","0.04267329350113869","729600","KO","The Coca-Cola Company (KO) Historical Data"
"1962-02-12 00:00:00-05:00","0.04267331537238808","0.04278560406739051","0.042336441576480865","0.042336441576480865","307200","KO","The Coca-Cola Company (KO) Historical Data"
"1962-02-13 00:00:00-05:00","0.042336441576480865","0.042561024107085677","0.042336441576480865","0.042336441576480865","652800","KO","The Coca-Cola Company (KO) Historical Data"
"1962-02-14 00:00:00-05:00","0.0423364348821696","0.0423364348821696","0.041550226509571075","0.041550226509571075","652800","KO","The Coca-Cola Company (KO) Historical Data"
"1962-02-15 00:00:00-05:00","0.0415502111696567","0.04188725442763543","0.04132562875747681","0.04132562875747681","652800","KO","The Coca-Cola Company (KO) Historical Data"
"1962-02-16 00:00:00-05:00","0.04132562875747681","0.04211183683981533","0.04132562875747681","0.04132562875747681","1190400","KO","The Coca-Cola Company (KO) Historical Data"
"1962-02-19 00:00:00-05:00","0.041662505391256016","0.04199954867362976","0.041662505391256016","0.04199954867362976","345600","KO","The Coca-Cola Company (KO) Historical Data"
"1962-02-20 00:00:00-05:00","0.04199956064601281","0.04211185189224005","0.04166251726756158","0.04177498072385788","460800","KO","The Coca-Cola Company (KO) Historical Data"
"1962-02-21 00:00:00-05:00","0.04177498121473559","0.042111852387076175","0.041550226509571075","0.041550226509571075","691200","KO","The Coca-Cola Company (KO) Historical Data"
"1962-02-23 00:00:00-05:00","0.0415502107261087","0.042111836390271974","0.04110104590654373","0.04110104590654373","1036800","KO","The Coca-Cola Company (KO) Historical Data"
"1962-02-26 00:00:00-05:00","0.041101061036425406","0.04211185189224005","0.04087647854397093","0.04177498072385788","768000","KO","The Coca-Cola Company (KO) Historical Data"
"1962-02-27 00:00:00-05:00","0.041774968815493516","0.04211183988784728","0.041774968815493516","0.04199954867362976","460800","KO","The Coca-Cola Company (KO) Historical Data"
"1962-02-28 00:00:00-05:00","0.041887261777083455","0.041887261777083455","0.04110105355679854","0.041213344782590866","652800","KO","The Coca-Cola Company (KO) Historical Data"
